,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description
3738,70294113,TV Show,Power Rangers: Megaforce,"Andrew M. Gray, Ciara Hanna, John Mark Loudermilk, Christina Masterson, Azim Rizk, Shailesh Prajapati, Ian Harcourt",United States,"January 1, 2016",2013,TV-Y7-FV,1,Kids' TV,"When Earth is threatened by a massive alien invasion, the planet's supernatural guardian calls upon five teenagers to form the ultimate defense team."
3741,70287605,TV Show,Strawberry Shortcake: Berry Bitty Adventures,"Anna Cummer, Janyse Jaud, Andrea Libman, Britt McKillip, Ingrid Nilson, Ashleigh Ball","France, United States, Canada","January 1, 2016",2015,TV-Y,1,Kids' TV,"Join Strawberry Shortcake and her berry best friends in the whimsical land of Berry Bitty City, where they learn about teamwork and decision-making."
3744,81020653,TV Show,Iron Ladies,"Aviis Zhong, Ben Wu, Ada Pan, Jacqueline Zhu, Gabriel Lan, Jack Lee, Wu Ting-chien, Wills Sia, Su Yen-ti, Jenny Huang",Taiwan,"February 9, 2019",2018,TV-14,1,"International TV Shows, Romantic TV Shows, TV Dramas",Three 30-something women in high-level jobs at a beauty e-commerce firm seem to have it all – except when it comes to love and romantic chemistry.
3748,80220692,TV Show,Tientsin Mystic,"Li Xian, Zhang Ming En, Wang Zixuan, Chen Yumi, Tang Yinuo, Wei Qing, Yang Shuming, Chen Jian, Kang Enhe, Dong Xiangrong",China,"February 9, 2018",2017,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","In an otherworldly river town, a policeman follows the trail of a sinister force to save his community from deadly spells."
3754,81002145,TV Show,Nailed It! Mexico,"Omar Chaparro, Anna Ruiz","United States, Mexico","February 8, 2019",2019,TV-PG,1,"International TV Shows, Reality TV, Spanish-Language TV Shows","The fun, fondant and hilarious cake fails head to Mexico, where very amateur bakers compete to re-create elaborate sweet treats for a cash prize."
3757,80241001,TV Show,Unauthorized Living,"José Coronado, Álex González, Claudia Traisac, Luís Zahera, Pilar Castro, Àlex Monner, Giulia Charm, Unax Ugalde, Ricardo Gómez, Ledicia Sola, Leonor Watling, Patrick Criado, Xabier Deive, Camila Bossa, María Guinea, Édgar Vittorino, Javier Abad, Daniel Currás, Mercedes Castro, Paula Morado, Paula Pier, Carmela Martins, Denis Gómez, Miguel Borines, Ana Villagrasa, Xavier Estévez, Carlos Hipólito",Spain,"February 8, 2019",2018,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When a Galician shipper and drug lord hiding his Alzheimer's disease plans to retire, his second-in-command plots to steal the empire from the heir."
3762,70212989,TV Show,The Pyramid Code,Sally Jennings,Canada,"February 8, 2016",2009,TV-PG,1,"Docuseries, Science & Nature TV",How was the scientific understanding of the ancients so advanced? A team of experts answers this and other questions in this fascinating series.
3764,81044300,TV Show,The Last of the Schmucks,"Chico, Ahmed Mekky, Hesham Maged, Bayoumi Fouad, Dina El-Sherbiny",Egypt,"February 7, 2019",2017,TV-MA,1,"International TV Shows, TV Comedies","The year is 2041 and a dispute between a man and his wife has set the human race back. In this battle of the sexes, the primitive life isn't so simple."
3769,80179371,TV Show,Valor,"Christina Ochoa, Matt Barr, Corbin Reid, Charlie Barnett, W. Tré Davis",United States,"February 6, 2018",2018,NR,1,"TV Action & Adventure, TV Dramas","Following an unsuccessful mission in Somalia, the two surviving members of a U.S. Army helicopter crew are embroiled in an unseemly conspiracy."
3773,81049811,TV Show,Hidden Worlds,"Adel Imam, Salah Abdallah, Hiba Majdi, Bushra, Fathy Abdel Wehab, Rania Farid Shawki, Ahmad Wafiq",Egypt,"February 5, 2019",2018,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","While investigating an actress’s supposed suicide and her connection to the mafia, a veteran journalist discovers that corruption runs deep."
3774,80214523,TV Show,Live,"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok, Sung Dong-il",South Korea,"February 5, 2019",2018,TV-MA,1,"Crime TV Shows, International TV Shows, Korean TV Shows",The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.
3776,80201500,TV Show,Safe,"Michael C. Hall, Amanda Abbington, Marc Warren, Hannah Arterton, Audrey Fleurot, Nigel Lindsay",United Kingdom,"February 5, 2019",2018,TV-MA,1,"British TV Shows, Crime TV Shows, International TV Shows","After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him."
3777,81049774,TV Show,Tayee,"Amr Youssef, Amr Abdel Guelil, Saba Mubarak",Egypt,"February 5, 2019",2018,TV-MA,1,"International TV Shows, TV Dramas",An Egyptian doctor becomes a police informant and uses his rare gift of tracking ancient artifacts in the smuggling business.
3778,80182123,TV Show,Violet Evergarden,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Koki Uchiyama, Minori Chihara, Haruka Tomatsu",Japan,"February 5, 2019",2018,TV-14,1,"Anime Series, International TV Shows, Romantic TV Shows","The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past."
3779,80221279,TV Show,OCTB,"Jordan Chan, Justin Cheung, Kwok-Kwan Chan, Sam Lee, Alan Kuo, Ken Wong, Samuel Pang, Rose Chan, Hugo Ng, Ng Man-Tat, Chen Yating, Michael Wai-Man Chan, Philip Chan, Ben Ng",Hong Kong,"February 5, 2018",2017,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas",An undercover detective crosses paths with familiar faces in the mafia underworld during the final years of Britain's ruling of Hong Kong.
3790,70157452,TV Show,Dinner for Five,,United States,"February 4, 2008",2007,TV-MA,1,Stand-Up Comedy & Talk Shows,"In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives."
3791,81045349,TV Show,Romance is a bonus book,"Lee Jong-suk, Lee Na-young, Jung Eugene, Wi Ha-jun, Kim Tae-woo, Kim Yu-mi, Cho Han-cheul, Kim Sun-young",South Korea,"February 3, 2019",2019,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.
3817,80177416,TV Show,Unsolved,"Josh Duhamel, Jimmi Simpson, Bokeem Woodbine",United States,"February 27, 2019",2018,TV-MA,1,"Crime TV Shows, TV Dramas",Ride along for a dramatized version of the real-life investigations into the murders of rap icons Tupac Shakur and Biggie Smalls.
3837,80046599,TV Show,Dueños del paraíso,"Kate del Castillo, Jorge Zabaleta, José María Torre, Tony Dalton, Géraldine Bazán, Ximena Duque, Adriana Barraza, Juan Pablo Llano, Daniela Wong, Tiago Correa, Margarita Muñoz, Miguel Varoni, Ariel Texido, María Luisa Flores, Alberto Jiménez, Andrea López, Maxi Iglesias, Jorge Hernández, Alberto Mateo, Sofía Lama","United States, Chile","February 25, 2017",2015,TV-14,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","When Anastasia Cardona's drug lord husband is murdered, she inherits his cocaine empire, leading to a life of wealth, power, violence and betrayal."
3839,70299043,TV Show,Attack on Titan,"Yuki Kaji, Yui Ishikawa, Marina Inoue, Kisho Taniyama, Yu Shimamura, Yu Kobayashi, Shiori Mikami, Hiro Shimono, Ryota Osaka, Yoshimasa Hosoya, Tomohisa Hashizume, Saki Fujita, Hiroshi Kamiya, Daisuke Ono, Romi Park, Keiji Fujiwara, Kazuhiro Yamaji, Yusaku Yara",Japan,"February 24, 2019",2013,TV-MA,1,"Anime Series, International TV Shows","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race."
3844,80081863,TV Show,Legend Quest,"Benny Emmanuel, Mayté Cordeiro, Andrés Couturier, Ricardo O'Farrill, Alondra Hidalgo, Alejandro Villeli, Sofía Niño de Rivera, Johnny Rose, Annemarie Blanco, Oscar Cheda, Paul Tei, Cydney J. Fam, Lisa Grossman",Mexico,"February 24, 2017",2017,TV-Y7,1,Kids' TV,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time."
3845,80155793,TV Show,The Sound of Your Heart,"Kwang-soo Lee, Dae-Myung Kim, So-min Jung, Byeong-ok Kim, Mi-kyung Kim",South Korea,"February 24, 2017",2016,TV-14,1,"International TV Shows, Korean TV Shows, TV Comedies","Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family."
3848,80163279,TV Show,Best Lover,"Da-hae Lee, Zhou Mi, Wang Qiuzi, Kwang-hyun Park, Jia Zhengyu, Jeong-hak Park",,"February 23, 2018",2016,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","Two young stars with different backgrounds and agendas enter into a fake marriage to advance their careers, until the fake starts turning real."
3850,80117555,TV Show,Seven Seconds,"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley, David Lyons, Russell Hornsby, Raúl Castillo, Patrick Murney",United States,"February 23, 2018",2018,TV-MA,1,"Crime TV Shows, TV Dramas",The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.
3851,80184208,TV Show,Timeline,"Santiwithi Phrombut, Jamorn Kijsawapak, Orrawan Phuakthaisong",,"February 23, 2018",2014,TV-14,1,"Crime TV Shows, Docuseries, International TV Shows","Firsthand accounts, re-enactments and computer-generated graphics retell in detail Thailand's biggest news stories from the past."
3852,80170368,TV Show,Ugly Delicious,"David Chang, Peter Meehan",United States,"February 23, 2018",2018,TV-MA,1,Docuseries,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub."
3863,80138915,TV Show,Hitler's Circle of Evil,"Alisdair Simpson, Henrik Jørgensen, James Lowe, Blake Scott, Peter Turnbull",United Kingdom,"February 22, 2018",2017,TV-14,1,"British TV Shows, Docuseries, International TV Shows","Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future."
3864,70202577,TV Show,Ken Burns: The Civil War,"Sam Waterston, Julie Harris, Jason Robards, Morgan Freeman, Paul Roebling, Garrison Keillor, George Black, David McCullough, Arthur Miller, Christopher Murney, Charles McDowell, Horton Foote, George Plimpton, Philip Bosco, Terry Courier, Jody Powell, Studs Terkel",United States,"February 22, 2017",1990,TV-14,1,Docuseries,"Ken Burns's documentary depicts the action of famous Civil War battles, and relates the stories of soldiers, generals and a beleaguered president."
3865,80013283,TV Show,Ken Burns: The Roosevelts: An Intimate History,,United States,"February 22, 2017",2014,TV-PG,1,Docuseries,"Award-winning documentarian Burns profiles three members of one of America's premier political families: Theodore, Franklin and Eleanor Roosevelt."
3867,70281600,TV Show,Prohibition: A Film by Ken Burns and Lynn Novick,Peter Coyote,United States,"February 22, 2017",2011,TV-PG,1,"Crime TV Shows, Docuseries","Ken Burns's documentary traces the passage of the 18th Amendment, the social and legal effects of prohibiting alcohol, and the repeal of Prohibition."
3873,70202579,TV Show,The War: A Film by Ken Burns and Lynn Novick,Keith David,United States,"February 22, 2017",2007,TV-14,1,Docuseries,"A seven-part series brings World War II to life through the harrowing personal accounts of soldiers and others from ""typical"" American towns."
3889,81071666,TV Show,One Strange Rock,Will Smith,United States,"February 2, 2019",2018,TV-PG,1,"Docuseries, Science & Nature TV","Hosted by Will Smith, this series follows eight astronauts who share their unique perspectives on Earth, the fragile and beautiful planet we call home."
3891,80097140,TV Show,Altered Carbon,"Joel Kinnaman, James Purefoy, Martha Higareda, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee, Kristin Lehman, Chris Conner, Ato Essandoh, Tamara Taylor, Byron Mann",United States,"February 2, 2018",2018,TV-MA,1,"Crime TV Shows, TV Action & Adventure, TV Dramas","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder."
3892,80157137,TV Show,Coach Snoop,Snoop Dogg,United States,"February 2, 2018",2018,TV-MA,1,"Docuseries, Reality TV","Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals."
3899,81027396,TV Show,The 2000s,,United States,"February 19, 2019",2018,TV-MA,1,Docuseries,"Examine the triumphs, tragedies, cultural shifts and technological leaps that occurred during the millennium's first decade."
3904,80226338,TV Show,마녀사냥,"Si-kyung Sung, Se-yoon Yoo, Dong-yup Shin, Ji-woong Heo, Sam Hammington",South Korea,"February 19, 2018",2015,TV-MA,1,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Four Korean celebrity men and guest stars of both genders discuss women, sex and relationships – to an unprecedented degree of openness."
3908,80022456,TV Show,Cooked,Michael Pollan,United States,"February 19, 2016",2016,TV-PG,1,Docuseries,"As he tries his hand at baking, brewing and braising, acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world."
3913,70295974,TV Show,The Returned,"Anne Cosigny, Frédéric Pierrot, Clotilde Hesme, Céline Sallette, Samir Guesmi, Guillaume Gouix, Jean-Francois Sivadier, Alix Poisson, Jenna Thiam, Grégory Gadebois, Pierre Perrier, Yara Pilartz, Swann Nambotin, Ana Girardot, Brune Martin, Bertrand Constant, Matila Malliarakis, Constance Dollé, Laetitia de Fombelle, Simon Ehrlacher, Vincent Trouilleux, Jérôme Kircher, Guillaume Marquet, Alma Arnal, Julien Bourdel, François Briault, Gilles Chabrier, Aksel Ustun, Alain Blazquez",France,"February 17, 2019",2015,TV-MA,1,"International TV Shows, TV Dramas, TV Horror","On returning home and finding they're believed to be dead, a collection of near-strangers from the same village try to find a reason for their plight."
3915,80222025,TV Show,Brave Miss World,Linor Abargil,"United States, Israel, Italy, South Africa","February 17, 2018",2013,TV-14,1,"Crime TV Shows, Docuseries","Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary."
3918,80154508,TV Show,Love for Ten: Generation of Youth,"Sung-yeol Lee, Ji-hyun Nam, Clara Lee, Jin Won",South Korea,"February 17, 2017",2013,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows","A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to."
3926,80117551,TV Show,Everything Sucks!,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",United States,"February 16, 2018",2018,TV-14,1,"TV Comedies, TV Dramas, Teen TV Shows","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era."
3928,80184154,TV Show,Kon Kon Kon,,,"February 16, 2018",2014,TV-PG,1,"Docuseries, International TV Shows",Explore the stories of ordinary people dealing with extraordinary circumstances in this series that focuses on overcoming obstacles and odds.
3943,80045203,TV Show,Hjørdis,"Lise Baastrup, Martin Brygmann, Ellen Hillingsø, Nicky Andersen, Nicoline Sharma Rubow, Jasmin Bart-Williams, William Rützou, Marius Due, Robert Hansen",Denmark,"February 15, 2019",2015,TV-14,1,"International TV Shows, TV Comedies, TV Dramas","This miniseries spinoff of ""Rita"" follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students."
3944,80188051,TV Show,Larry Charles' Dangerous World of Comedy,Larry Charles,,"February 15, 2019",2019,TV-MA,1,"Docuseries, TV Comedies","Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places."
3951,81045551,TV Show,The 43,Paco Ignacio Taibo II,,"February 15, 2019",2019,TV-MA,1,"Crime TV Shows, Docuseries, International TV Shows",This docuseries disputes the Mexican government's account of how and why 43 students from Ayotzinapa Rural Teachers' College vanished in Iguala in 2014.
3954,81045308,TV Show,The Kirlian Frequency,"Nicolás Van de Moortele, Letizia Denise Bloisi, María Dupláa, Ciro Herce, Milagros Molina, Jorge Pinarello, Casper Uncal, Jorge Luis Alonso",Argentina,"February 15, 2019",2017,TV-14,1,"International TV Shows, Spanish-Language TV Shows, TV Horror","In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina."
3955,80186863,TV Show,The Umbrella Academy,,United States,"February 15, 2019",2019,TV-14,1,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy","Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets – and a looming threat to humanity."
3964,80235135,TV Show,Powder,"Manish Chaudhary, Pankaj Tripathi, Geetika Tyagi, Rahul Bagga",India,"February 15, 2018",2010,TV-14,1,"Crime TV Shows, International TV Shows, TV Dramas","Two men who grew up in Mumbai's slums are drawn into the city's brutal narcotics trade, where they fight on opposite sides of the law."
3966,80198794,TV Show,Re:Mind,Keyakizaka46,Japan,"February 15, 2018",2017,TV-MA,1,"International TV Shows, TV Dramas, TV Mysteries","Eleven high school classmates awaken, restrained to a large dining room. While fearing for their lives, they question a motive to this bizarre act."
3975,80158801,TV Show,Nightmare High,"So-hyun Kim, Min-hyuk Lee, Ki-joon Uhm, Da-Ye Kim, Seung-do Baek, Shin-ae Seo",South Korea,"February 15, 2017",2016,TV-14,1,"International TV Shows, Korean TV Shows, TV Dramas","After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late."
3977,80158803,TV Show,Spark,"Jong-chan Na, Bo-ra Nam, Da-young Joo, Yeo One, Ki-sung Bae, Jin-joo Park, Eun-soo Kwon",South Korea,"February 15, 2017",2016,TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?
3981,80204889,TV Show,Dating Around,,,"February 14, 2019",2019,TV-MA,1,"Reality TV, Romantic TV Shows","In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date."
3986,80118913,TV Show,The Mortified Guide,,United States,"February 14, 2018",2018,TV-MA,1,Docuseries,"Brave people get onstage to read hilarious and humiliating tales of gawky teenage love, family dysfunction and other stories from their younger years."
3990,80150604,TV Show,White Nights,"Yo-Won Lee, Goo Jin, U-ie, Hae-in Jung, Gook-hwan Jeon, Han-yong Jeong",South Korea,"February 14, 2017",2016,TV-14,1,"International TV Shows, Korean TV Shows, TV Dramas","A coldhearted heiress, a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power."
4000,80057749,TV Show,Cyborg 009: Call of Justice,"Keisuke Koumoto, Risa Taneda, Misato Fukuen, Takuya Sato, Satoshi Hino, Kenji Nomura, Mitsuaki Madono, Setsuji Sato, Haruki Ishiya, Ryo Sugisaki, Yui Makino, Kazuhiko Inoue, Yuko Kaida",Japan,"February 10, 2017",2017,TV-14,1,"Anime Series, International TV Shows","Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity."
4004,80174429,TV Show,Metallica: Some Kind of Monster,"James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",United States,"February 10, 2017",2014,TV-MA,1,TV Shows,"This collection includes the acclaimed rock documentary about Metallica, plus a film checking in with the still-thriving group 10 years later."
4007,80205595,TV Show,Always a Witch,"Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero",Colombia,"February 1, 2019",2019,TV-14,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas","A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival."
4008,81063028,TV Show,Beast Legends,"Steve Leonard, Francis Manapul, Kathryn Denning, Scott Edwards, Mike Paixao",Canada,"February 1, 2019",2010,TV-PG,1,Docuseries,A diverse crew of experts dive deep into the origin stories of mythological monsters before building replicas of the creatures using 3D CGI technology.
4010,81063160,TV Show,Camp X,,Canada,"February 1, 2019",2014,TV-MA,1,Docuseries,"Established during World War II, North America's first secret agent training school – known as Camp X – paved the way for present-day espionage."
4016,81059603,TV Show,Harold Shipman - Driven to Kill,Harold Shipman,United Kingdom,"February 1, 2019",2014,TV-14,1,"British TV Shows, Crime TV Shows, Docuseries","Interviews and dramatic reconstructions illuminate the twisted motivations and brazen crimes of serial killer and respected physician, Harold Shipman."
4019,81059643,TV Show,Hunters of the South Seas,Will Millard,United Kingdom,"February 1, 2019",2015,TV-14,1,"British TV Shows, Docuseries","In a far corner of the Pacific Ocean, people who live entirely at sea share insights into their incredible amphibious lifestyle."
4021,81050118,TV Show,Lego Friends: Girls on a Mission,"Jasmine St. Clair, Allegra Clark, Rosamund Marks, Faye Mata, Kira Buckland, David Roach, Bradley Venable",Denmark,"February 1, 2019",2018,TV-Y,1,Kids' TV,"Five best friends put their teamwork, wits and courage to the test when they take on a mission to protect Heartlake City from bad people."
4025,80997225,TV Show,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),,Spain,"February 1, 2019",2017,TV-14,1,"Crime TV Shows, Docuseries, International TV Shows","This true crime series investigates newfound evidence and unanswered questions in famous criminal cases, such as the murder of Asunta Basterra Porto."
4027,81059663,TV Show,My Tattoo Addiction,Julian Barratt,United Kingdom,"February 1, 2019",2013,TV-MA,1,"British TV Shows, Docuseries",Ink junkies dig skin deep and share personal stories about their collection of body art.
4029,81063091,TV Show,Operation Gold Rush,"Dan Snow, Felicity Ashton, Kevin Fong, Alisdair Simpson",United Kingdom,"February 1, 2019",2016,TV-14,1,"British TV Shows, Reality TV",A team of modern-day adventurers follows the footsteps of the money-hungry explorers who trekked the Klondike in search of Canadian gold.
4031,80211627,TV Show,Russian Doll,"Natasha Lyonne, Charlie Barnett, Yul Vazquez, Elizabeth Ashley, Dascha Polanco, Jeremy Bobb, Greta Lee, Rebecca Henderson, Brendan Sexton III, Chloë Sevigny, Brooke Timber",United States,"February 1, 2019",2019,TV-MA,1,"TV Comedies, TV Dramas",Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop – and staring down the barrel of her own mortality.
4032,81041414,TV Show,Sparta,"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Russia,"February 1, 2019",2018,TV-MA,1,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game."
4033,80990612,TV Show,Sword Art Online Alternative: Gun Gale Online,"Tomori Kusunoki, Yoko Hikasa, Kazuyuki Okitsu, Chinatsu Akasaki",Japan,"February 1, 2019",2018,TV-14,1,"Anime Series, International TV Shows",College student Karen takes up Gun Gale Online and gets a reputation as the Pink Demon. Then her gaming buddy Pitohui asks her to join the Squad Jam.
4034,81059684,TV Show,The Bible's Buried Secrets,Francesca Stavrakopoulou,United Kingdom,"February 1, 2019",2011,TV-14,1,"British TV Shows, Docuseries, Science & Nature TV","Host Francesca Stavrakopoulou travels across the Middle East, offering extraordinary insights into the stories of the Old Testament."
4035,81059816,TV Show,The Big Catch,Ben Fogle,United Kingdom,"February 1, 2019",2015,TV-PG,1,"British TV Shows, Reality TV","In a global competition, eight fishing enthusiasts battle extreme conditions and dangerous waters to be crowned the ultimate angler."
4036,81063049,TV Show,The Bomb Squad,Christopher Eccleston,United Kingdom,"February 1, 2019",2011,TV-MA,1,"British TV Shows, Docuseries",This documentary follows British bomb disposal teams in Afghanistan and the dangers they face in their methodical lives on the front lines of war.
4038,80992963,TV Show,The Story of Us with Morgan Freeman,Morgan Freeman,United States,"February 1, 2019",2017,TV-14,1,Docuseries,"Explore the forces of love, belief, power, war, peace, rebellion and freedom in this series about the ties that bind – and destroy – humanity."
4045,81059856,TV Show,World's Busiest Cities,"Anita Rani, Ade Adepitan, Dan Snow",United Kingdom,"February 1, 2019",2017,TV-PG,1,"British TV Shows, Docuseries","From Moscow to Mexico City, three BBC journalists delve into the inner workings of some of the most burgeoning metropolises on Earth."
4056,80078037,TV Show,Little Lunch,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena",Australia,"February 1, 2018",2015,,1,"Kids' TV, TV Comedies","Adopting a child's perspective, this show takes a humorous look at what happens during those action-packed 15 minutes of snack time each day."
4062,80234290,TV Show,Revolting Rhymes,"Rob Brydon, Bertie Carvel, Gemma Chan, Dominic West, Isaac Hempstead Wright, Bel Powley, Tamsin Greig, Rose Leslie, David Walliams",United Kingdom,"February 1, 2018",2017,TV-PG,1,"British TV Shows, Kids' TV",Popular fairy tales take on a darkly comic edge in these short animated films based on a book by Roald Dahl and illustrator Quentin Blake.
4063,80063658,TV Show,The Code,Marcus du Sautoy,United Kingdom,"February 1, 2018",2011,TV-PG,1,"British TV Shows, Docuseries, International TV Shows","In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself."
4065,80005332,TV Show,Camelia la Texana,"Sara Maldonado, Erik Hayser, Andrés Palacios, Dagoberto Gama, Luis Ernesto Franco, Arcelia Ramírez, Eréndira Ibarra","Mexico, United States","February 1, 2017",2014,TV-14,1,"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner."
4077,80157242,TV Show,Mexico Diseña,,United States,"February 1, 2017",2016,TV-PG,1,"International TV Shows, Reality TV, Spanish-Language TV Shows",Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.
4079,80161851,TV Show,Pioneers of African-American Cinema,,United States,"February 1, 2017",1946,TV-14,1,TV Shows,This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.
4083,80093829,TV Show,Masha's Tales,,,"February 1, 2016",2012,TV-Y,1,Kids' TV,"Fairy tales get a funny twist when Masha retells them, because she tends to get the details just a little jumbled up in this animated kids' series."
4084,80042371,TV Show,The Lizzie Borden Chronicles,"Christina Ricci, Clea DuVall, Cole Hauser, Dylan Taylor, John Ralston, Bradley Stryker, Olivia Llewellyn, Jeff Wincott, Jessy Schram, Martha Irving, Gabrielle Trudel",United States,"February 1, 2016",2015,TV-14,1,"Crime TV Shows, TV Dramas, TV Thrillers","Exonerated in the murder of her father and stepmother, Lizzie Borden takes on crime lords, detectives and other foes as she savors her new infamy."
4088,80065491,TV Show,Captive,,United Kingdom,"December 9, 2016",2016,TV-MA,1,"Crime TV Shows, Docuseries","This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
4089,80149141,TV Show,Four Seasons in Havana,"Jorge Perugorría, Carlos Enrique Almirante, Mario Guerra, Luis Alberto García, Juana Acosta, Laura Ramos","Spain, Cuba","December 9, 2016",2016,TV-MA,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","As Havana slowly revolves through the year, wistful detective Mario Conde probes the sultry heart of the city to investigate dark and deadly crimes."
4092,80091245,TV Show,White Rabbit Project,"Tory Belleci, Kari Byron, Grant Imahara",United States,"December 9, 2016",2016,TV-PG,1,"Docuseries, International TV Shows, Reality TV","Kari Byron, Tory Belleci and Grant Imahara rank history's greatest inventions, heists and more in this series from the producers of ""MythBusters."""
4113,80158044,TV Show,Miss in Kiss,"Esther Wu, Dino Lee, Gong Yi Teng, Xi Wei Lun, Honduras, Vega Tsai, Shen Chang Hung",Taiwan,"December 8, 2016",2016,TV-14,1,"International TV Shows, Romantic TV Shows, TV Comedies","A quirk of fate sends an ordinary, sweet-natured high school girl and her father into the home of the school genius, on whom she has a huge crush."
4115,80109535,TV Show,The Cuba Libre Story,,"France, Germany","December 8, 2016",2015,TV-14,1,"Docuseries, International TV Shows","This documentary series recounts the tumultuous history of Cuba, a nation of foreign conquest, freedom fighters and Cold War political machinations."
